base_image_name,box_class,directory,split
b989c60739b9d607,a10,a10,train
e604997b6e84927b,a10,a10,train
b319cc6639d1c62e,a10,a10,train
ce8a91716c8ed275,a10,a10,train
a3c8cc3739c8c61f,a10,a10,train
c9691216366d696f,a10,a10,train
b9e4871bc96c3592,a10,a10,train
f5358a47c4371fc0,a10,a10,train
90f9468e99f32d2c,a10,a10,train
ed9cd243237d6d80,a10,a10,train
f1f1700c1e1e1f0f,a10,a10,train
86ccf9370cd8f321,a10,a10,train
a2d9cd663899e364,a10,a10,train
bc9bc36439986467,a10,a10,train
b5a3d40e6cf58316,a10,a10,train
c31c3ce3c21c69e7,a10,a10,train
f9c886763898c763,a10,a10,train
819256d41be5936f,a10,a10,train
e3999c6ec291371a,a10,a10,train
ac9fc72423c858b7,a10,a10,train
e626995b7b64c492,a10,a10,train
b7d0c88f9f21b690,a10,a10,train
b6161636cdcdb321,a10,a10,train
f24c4933b6c64979,a10,a10,train
f286d9613e86c971,a10,a10,train
e66695934a4db592,a10,a10,train
ac98d3663999cc36,a10,a10,train
bb59c0e62e1991a7,a10,a10,train
a952d4252fdad227,a10,a10,train
f3884c76b3c944b6,a10,a10,train
b3d1ce2670cb34b4,a10,a10,train
ad9ac2613d9e4761,a10,a10,train
a141db3f8cd66269,a10,a10,train
b3dc866379d4822b,a10,a10,train
b651c13e39c6c6b4,a10,a10,train
bc6ec39334661e1c,a10,a10,train
ae1b192893e459af,a10,a10,train
ad56caa5534a8ea5,a10,a10,train
9996e2789d866369,a10,a10,train
f34ccc233cf6c309,a10,a10,train
b6dcc02332de47c3,a10,a10,train
e70d9872678c9473,a10,a10,train
e6dc99226e4cb2d2,a10,a10,train
fa7ffd72c0309042,a10,a10,train
9b9b30646c939bcc,a10,a10,train
a1dd9622fdc83235,a10,a10,train
e2f2d63c0c923373,a10,a10,train
a193c765f9592626,a10,a10,train
bcc4c21bc365ec1e,a10,a10,train
fb78102597d84c67,a10,a10,train
d3638c38d3c16e96,a10,a10,train
c785d86727d8582d,a10,a10,train
b311cc2e33d1c32f,a10,a10,train
b388cc363ac9c73c,a10,a10,train
f21d9c6293cc3633,a10,a10,train
b879d98626614b57,a10,a10,train
8c1334e3eb8e4ce6,a10,a10,train
f9a5864e87313a6a,a10,a10,train
ad84d27b2d84786d,a10,a10,train
b3d9c42739c1a71c,a10,a10,train
ecae963149ceb434,a10,a10,train
a9f689746a1ed12a,a10,a10,train
b19d8ee2e4cc1339,a10,a10,train
bf89c0276cb4dac2,a10,a10,train
a1f69ec03273e586,a10,a10,train
bc9887676b99941a,a10,a10,train
c3bcae425dbcc243,a10,a10,train
bd16426878db9734,a10,a10,train
e3069c792796d269,a10,a10,train
ae5891726e999336,a10,a10,train
e2cdd0b73aa901a7,a10,a10,train
e95896276ad2856d,a10,a10,train
f0e3cecc38316c6c,a10,a10,train
f5b1c146ae1e5c89,a10,a10,train
ad599bd64cc03336,a10,a10,train
b10786cd2c1ecbe3,a10,a10,train
d2933364cccdb3b0,a10,a10,train
e6b4964f69319ac4,a10,a10,train
a319dc762189de74,a10,a10,train
b19b86643f3ae0c3,a10,a10,train
bb48c43731c9c736,a10,a10,train
ee46f11bb644cc1a,a10,a10,train
90e447837d1eaae5,a10,a10,train
f6c80b37b4c04b3d,a10,a10,train
efd910666dc99232,a10,a10,train
fe88c3322c8cd373,a10,a10,train
99ec86676499c666,a10,a10,train
e2a51e9a1c6ce54e,a10,a10,train
9ad7361be4106bb4,a10,a10,train
d21bfb09a6646647,a10,a10,train
b303cc0ee61bed19,a10,a10,train
de7ca101e426f879,a10,a10,train
afcc9b632c84d269,a10,a10,train
8181b2eeecf3334c,a10,a10,train
90b9400f2ee7c93f,a10,a10,train
a3c6d879a3861cf8,a10,a10,train
e7419afec880b339,a10,a10,train
a9ce9b3d8ccac261,a10,a10,train
fdd682692fc61035,a10,a10,train
816956963b69cc97,a10,a10,train
b29ecd611993e62c,a10,a10,train
e0d39f0e99e4703a,a10,a10,train
a6c9d53768589723,a10,a10,train
ef495197a4ad89a2,a10,a10,train
cd31362fcd837226,a10,a10,train
bbeea4105a1fa319,a10,a10,train
ea08d1f7fed8c201,a10,a10,train
b9e18ed6368a8d2c,a10,a10,train
99196666d9999966,a10,a10,train
b199ce663991866e,a10,a10,train
e69890276ddc9267,a10,a10,train
edc4923b6cc09d1e,a10,a10,train
f2399886174de593,a10,a10,train
d29236646dc9c73c,a10,a10,train
bbe3e490ba02ad0f,a10,a10,train
f9c9863639c9d234,a10,a10,train
9e2fae6cd51488b1,a10,a10,train
f1888e77b8896336,a10,a10,train
f9828357b43947c9,a10,a10,train
e9129e66374bd930,a10,a10,train
bbc8c4362881d7f6,a10,a10,train
b3d8c82f1dd2e249,a10,a10,train
adfae5e981860655,a10,a10,train
c719b87f8f40b846,a10,a10,train
fd8cd0302d89f27c,a10,a10,train
e0023f3dccc7b23a,a10,a10,train
c6d1992e0cd97317,a10,a10,train
e68c99736f849259,a10,a10,train
fa4f9443f30f9412,a10,a10,train
bcd6832b5adc2721,a10,a10,train
91731c3f639d1926,a10,a10,train
d39d84f23a19c366,a10,a10,train
8f2f057e5ad1c1a4,a10,a10,train
e22e85c32d3ddac2,a10,a10,train
b7ccc0733985e278,a10,a10,train
a6aed95924e6581b,a10,a10,train
b636d4696ba3a0b8,a10,a10,train
998c663331b6936d,a10,a10,train
c6888bb33cdcb272,a10,a10,train
a8dbd72468da8627,a10,a10,train
e66699916a6e3591,a10,a10,train
c1ff94107e81b5d4,a10,a10,train
8cc2733c9e8765f0,a10,a10,train
a1a7debc29cb0724,a10,a10,train
809bff2c0a973c69,a10,a10,train
bec9c9368588ba69,a10,a10,train
b399cc663b91e41a,a10,a10,train
d50b507f505d5237,a10,a10,train
e746d821e6be19c1,a10,a10,train
ef91c0e63b13c68c,a10,a10,train
9071e73299cd6e13,a10,a10,train
b892476aab35d02f,a10,a10,train
